蚂蚁金服数据分析学姐直接推荐有问必答,蚂蚁集团,https://www.nowcoder.com/intern/3240?jobIds=47242&ncsr=,¥250-300元/天,北京,上海,杭州,简历处理率：94%,平均处理：1天,
数据分析实习生,字节跳动,https://www.nowcoder.com/intern/12702?jobIds=49140&ncsr=,¥400-500元/天,北京,简历处理率：100%,平均处理：1天,
数据实习生（市场运营方向）,涂鸦智能,https://www.nowcoder.com/intern/49168?jobIds=49814&ncsr=,¥薪酬面议,杭州,简历处理率：100%,平均处理：2天,
数据实习生（市场运营方向）,涂鸦智能,https://www.nowcoder.com/intern/48298?jobIds=48625&ncsr=,¥250-300元/天,杭州,简历处理率：100%,平均处理：1天,
数据开发工程师,远景,https://www.nowcoder.com/intern/51983?jobIds=49070&ncsr=,¥250-300元/天,北京,上海,其他,简历处理率：100%,平均处理：1天,
数据分析师,菜鸟网络,https://www.nowcoder.com/intern/50788?jobIds=47976&ncsr=,¥薪酬面议,北京,杭州,简历处理率：99%,平均处理：1天,
数据研发,菜鸟网络,https://www.nowcoder.com/intern/50788?jobIds=47975&ncsr=,¥薪酬面议,北京,杭州,简历处理率：92%,平均处理：1天,
数据分析实习生,脉脉,https://www.nowcoder.com/intern/46292?jobIds=41219&ncsr=,¥150-200元/天,北京,简历处理率：22%,平均处理：4天,
大数据开发实习生,阿里云,https://www.nowcoder.com/intern/2900?jobIds=19594&ncsr=,¥200-250元/天,杭州,简历处理率：96%,平均处理：1天,
数据仓库工程师,瓜子,https://www.nowcoder.com/intern/48829?jobIds=45545&ncsr=,¥200-250元/天,北京,简历处理率：97%,平均处理：3天,
数据清洗实习生,平安科技,https://www.nowcoder.com/intern/41697?jobIds=40185&ncsr=,¥200-250元/天,杭州,简历处理率：-,平均处理：-,
[直通笔试]美团优选-数据开发工程师,美团,https://www.nowcoder.com/intern/50199?jobIds=47361&ncsr=,¥250-300元/天,北京,上海,成都,简历处理率：96%,平均处理：1天,
数据挖掘实习生,斗鱼直播,https://www.nowcoder.com/intern/11912?jobIds=50328&ncsr=,¥200-250元/天,武汉,简历处理率：-,平均处理：-,
数据分析实习生,酷家乐（杭州群核信息技术公司）,https://www.nowcoder.com/intern/52061?jobIds=49249&ncsr=,¥150-200元/天,上海,杭州,简历处理率：63%,平均处理：1天,
数据分析工程师,PingCAP,https://www.nowcoder.com/intern/6214?jobIds=49856&ncsr=,¥300-400元/天,北京,杭州,简历处理率：33%,平均处理：1天,
数据仓库,北京领格卓越科技有限公司,https://www.nowcoder.com/intern/51657?jobIds=48855&ncsr=,¥150-200元/天,北京,简历处理率：95%,平均处理：1天,
大数据研发工程师 （21届补招）,网易互娱,https://www.nowcoder.com/intern/17075?jobIds=49619&ncsr=,¥250-300元/天,广州,简历处理率：14%,平均处理：1天,
数据工程师,上海启林投资管理有限公司,https://www.nowcoder.com/intern/42922?jobIds=49340&ncsr=,¥250-300元/天,上海,简历处理率：-,平均处理：-,
数据工程师实习生,上海启林投资管理有限公司,https://www.nowcoder.com/intern/42922?jobIds=42682&ncsr=,¥200-250元/天,上海,简历处理率：42%,平均处理：7天,
数据处理实习生,北京经纬恒润科技股份有限公司,https://www.nowcoder.com/intern/13018?jobIds=42161&ncsr=,¥150-200元/天,北京,简历处理率：58%,平均处理：3天,
淘宝直播-算法岗,蚂蚁集团,https://www.nowcoder.com/intern/3240?jobIds=47240&ncsr=,¥250-300元/天,北京,上海,杭州,简历处理率：100%,平均处理：1天,
蚂蚁金服大数据部-数据研发-小主快到碗里来,蚂蚁集团,https://www.nowcoder.com/intern/3240?jobIds=47238&ncsr=,¥200-250元/天,北京,上海,杭州,简历处理率：100%,平均处理：1天,
创新研究院-软硬件一体化组-软件开发工程师,深信服,https://www.nowcoder.com/intern/52485?jobIds=49793&ncsr=,¥薪酬面议,深圳,简历处理率：100%,平均处理：1天,
安全研究实习生,深信服,https://www.nowcoder.com/intern/46494?jobIds=41404&ncsr=,¥150-200元/天,深圳,简历处理率：76%,平均处理：4天,
后端开发工程师,深信服,https://www.nowcoder.com/intern/52550?jobIds=49988&ncsr=,¥薪酬面议,深圳,长沙,简历处理率：-,平均处理：-,
阿里巴巴ICBU-跨境供应链java后端实习招聘,阿里巴巴,https://www.nowcoder.com/intern/47840?jobIds=45690&ncsr=,¥300-400元/天,深圳,杭州,简历处理率：100%,平均处理：1天,
深圳阿里巴巴2022实习java招聘,阿里巴巴,https://www.nowcoder.com/intern/47840?jobIds=46664&ncsr=,¥300-400元/天,深圳,简历处理率：90%,平均处理：1天,
深圳阿里巴巴22届java春季实习招聘,阿里巴巴,https://www.nowcoder.com/intern/47840?jobIds=49067&ncsr=,¥300-400元/天,深圳,简历处理率：100%,平均处理：1天,
c/c++开发实习生,涂鸦智能,https://www.nowcoder.com/intern/49168?jobIds=48416&ncsr=,¥薪酬面议,杭州,简历处理率：86%,平均处理：1天,
Java开发实习生（SaaS方向）,涂鸦智能,https://www.nowcoder.com/intern/49168?jobIds=48418&ncsr=,¥薪酬面议,杭州,简历处理率：100%,平均处理：2天,
上海实习-蚂蚁保险-数据分析或算法岗,蚂蚁集团,https://www.nowcoder.com/intern/52461?jobIds=49769&ncsr=,¥250-300元/天,上海,简历处理率：100%,平均处理：1天,
算法工程师实习生,inDeco领筑智造,https://www.nowcoder.com/intern/44082?jobIds=38366&ncsr=,¥300-400元/天,北京,简历处理率：100%,平均处理：1天,
